Title,Description,Keywords,Interests
Data-Free Point Cloud Network for 3D Face Recognition,"Point clouds-based Networks have achieved great attention in 3D object
classification, segmentation and indoor scene semantic parsing. In terms of
face recognition, 3D face recognition method which directly consume point
clouds as input is still under study. Two main factors account for this: One is
how to get discriminative face representations from 3D point clouds using deep
network; the other is the lack of large 3D training dataset. To address these
problems, a data-free 3D face recognition method is proposed only using
synthesized unreal data from statistical 3D Morphable Model to train a deep
point cloud network. To ease the inconsistent distribution between model data
and real faces, different point sampling methods are used in train and test
phase. In this paper, we propose a curvature-aware point sampling(CPS) strategy
replacing the original furthest point sampling(FPS) to hierarchically
down-sample feature-sensitive points which are crucial to pass and aggregate
features deeply. A PointNet++ like Network is used to extract face features
directly from point clouds. The experimental results show that the network
trained on generated data generalizes well for real 3D faces. Fine tuning on a
small part of FRGCv2.0 and Bosphorus, which include real faces in different
poses and expressions, further improves recognition accuracy.","Point,face,network",Deep Learning
Introduction to Indoor Air Quality,"Course Overview: https://youtu.be/LLVb4FOn4uU This course provides a basic knowledge of an emerging area � Indoor Air Quality (IAQ) in buildings. Learners will realize the importance of maintaining proper IAQ. Characteristics associated with indoor air contaminants (IAC) are demonstrated, such as �\tParticulate matters (PM2.5, PM10) �\tRadon �\tVolatile organic compounds (VOCs) �\tAsbestos �\tBio-aerosols, and more Safe exposure levels, resulting health effects, measurement techniques, mitigate and control measures of these IAC are discussed. Other important areas related to IAQ such as building ventilation systems, indoor flow characteristics, sick building syndrome, and thermal comfort are also covered in this course.","Overview,Quality,IAQ",Science
A Hybrid Stochastic Policy Gradient Algorithm for Reinforcement Learning,"We propose a novel hybrid stochastic policy gradient estimator by combining
an unbiased policy gradient estimator, the REINFORCE estimator, with another
biased one, an adapted SARAH estimator for policy optimization. The hybrid
policy gradient estimator is shown to be biased, but has variance reduced
property. Using this estimator, we develop a new Proximal Hybrid Stochastic
Policy Gradient Algorithm (ProxHSPGA) to solve a composite policy optimization
problem that allows us to handle constraints or regularizers on the policy
parameters. We first propose a single-looped algorithm then introduce a more
practical restarting variant. We prove that both algorithms can achieve the
best-known trajectory complexity $\mathcal{O}\left(\varepsilon^{-3}\right)$ to
attain a first-order stationary point for the composite problem which is better
than existing REINFORCE/GPOMDP $\mathcal{O}\left(\varepsilon^{-4}\right)$ and
SVRPG $\mathcal{O}\left(\varepsilon^{-10/3}\right)$ in the non-composite
setting. We evaluate the performance of our algorithm on several well-known
examples in reinforcement learning. Numerical results show that our algorithm
outperforms two existing methods on these examples. Moreover, the composite
settings indeed have some advantages compared to the non-composite ones on
certain problems.","policy,gradient,estimator",Artificial Intelligence
Inference in epidemiological agent-based models using ensemble-based data assimilation,"To represent the complex individual interactions in the dynamics of disease
spread informed by data, the coupling of an epidemiological agent-based model
with the ensemble Kalman filter is proposed. The statistical inference of the
propagation of a disease by means of ensemble-based data assimilation systems
has been studied in previous work. The models used are mostly compartmental
models representing the mean field evolution through ordinary differential
equations. These techniques allow to monitor the propagation of the infections
from data and to estimate several parameters of epidemiological interest.
However, there are many important features which are based on the individual
interactions that cannot be represented in the mean field equations, such as
social network and bubbles, contact tracing, isolating individuals in risk, and
social network-based distancing strategies. Agent-based models can describe
contact networks at an individual level, including demographic attributes such
as age, neighbourhood, household, workplaces, schools, entertainment places,
among others. Nevertheless, these models have several unknown parameters which
are thus difficult to estimate. In this work, we propose the use of
ensemble-based data assimilation techniques to calibrate an agent-based model
using daily epidemiological data. This raises the challenge of having to adapt
the agent populations to incorporate the information provided by the
coarse-grained data. To do this, two stochastic strategies to correct the model
predictions are developed. The ensemble Kalman filter with perturbed
observations is used for the joint estimation of the state and some key
epidemiological parameters. We conduct experiments with an agent based-model
designed for COVID-19 and assess the proposed methodology on synthetic data and
on COVID-19 daily reports from Ciudad Aut\'onoma de Buenos Aires, Argentina.","data,models,epidemiological",Machine Learning
Understanding Financial Statements: Company Position,"This course is designed to provide a basic understanding of financial statements with an emphasis on the balance sheet. However, to understand accounting driven financial statements, it is important to recognize that accounting is less about counting and more about measuring. �What is it that is being measured?� Well, as the course unfolds, you will learn about the three measurement questions and how the balance sheet helps to answer the first two of these questions. By touring a real company and interviewing real business people, the course describes the basic content of financial statements in a simple yet relevant context. The goal of the course is to leave a lasting impression about what balance sheet consists of and what it reveals. The next course in the Fundamentals of Accounting Specialization completes the conversation by addressing the remaining measurement question. Upon successful completion of this course, you will be able to: �\tDescribe the purpose of a balance sheet. �\tDefine the three components of a balance sheet. �\tRecognize and understand the meaning of several items typically presented on a balance sheet. �\tExplain the broader purpose of financial statements and the role of accounting in producing the financial statements. �\tRead and, to some extent, interpret real-world balance sheets. If you enjoy this business course and are interested in an MBA, consider applying to the iMBA, a flexible, fully-accredited online MBA at an incredibly competitive price offered by the University of Illinois. For more information, please see the Resource page in this course and onlinemba.illinois.edu.","balance,financial,statements",Business
Delving into Robust Object Detection from Unmanned Aerial Vehicles: A Deep Nuisance Disentanglement Approach,"Object detection from images captured by Unmanned Aerial Vehicles (UAVs) is
becoming increasingly useful. Despite the great success of the generic object
detection methods trained on ground-to-ground images, a huge performance drop
is observed when they are directly applied to images captured by UAVs. The
unsatisfactory performance is owing to many UAV-specific nuisances, such as
varying flying altitudes, adverse weather conditions, dynamically changing
viewing angles, etc. Those nuisances constitute a large number of fine-grained
domains, across which the detection model has to stay robust. Fortunately, UAVs
will record meta-data that depict those varying attributes, which are either
freely available along with the UAV images, or can be easily obtained. We
propose to utilize those free meta-data in conjunction with associated UAV
images to learn domain-robust features via an adversarial training framework
dubbed Nuisance Disentangled Feature Transform (NDFT), for the specific
challenging problem of object detection in UAV images, achieving a substantial
gain in robustness to those nuisances. We demonstrate the effectiveness of our
proposed algorithm, by showing state-of-the-art performance (single model) on
two existing UAV-based object detection benchmarks. The code is available at
https://github.com/TAMU-VITA/UAV-NDFT.","images,Vehicles,Unmanned",Deep Learning
Semantics for Variational Quantum Programming,"We consider a programming language that can manipulate both classical and
quantum information. Our language is type-safe and designed for variational
quantum programming, which is a hybrid classical-quantum computational
paradigm. The classical subsystem of the language is the Probabilistic FixPoint
Calculus (PFPC), which is a lambda calculus with mixed-variance recursive
types, term recursion and probabilistic choice. The quantum subsystem is a
first-order linear type system that can manipulate quantum information. The two
subsystems are related by mixed classical/quantum terms that specify how
classical probabilistic effects are induced by quantum measurements, and
conversely, how classical (probabilistic) programs can influence the quantum
dynamics. We also describe a sound and computationally adequate denotational
semantics for the language. Classical probabilistic effects are interpreted
using a recently-described commutative probabilistic monad on DCPO. Quantum
effects and resources are interpreted in a category of von Neumann algebras
that we show is enriched over (continuous) domains. This strong sense of
enrichment allows us to develop novel semantic methods that we use to interpret
the relationship between the quantum and classical probabilistic effects. By
doing so we provide the first denotational analysis that relates models of
classical probabilistic programming to models of quantum programming.","quantum,Probabilistic,classical",Others
Multi-curvature viscous streaming: flow topology and particle manipulation,"Viscous streaming refers to the rectified, steady flows that emerge when a
liquid oscillates around an immersed microfeature, typically a solid body or a
bubble. The ability of such features to locally concentrate stresses produces
strong inertial effects to which both fluid and immersed particles respond
within short length (O(100) microns) and time (milliseconds) scales, rendering
viscous streaming arguably the most efficient mechanism to exploit inertia at
the microscale. Despite this potential, viscous streaming has been investigated
in rather narrow conditions, mostly making use of bodies of uniform curvature
(cylinders, spheres) for which induced flow topologies are constrained to only
two regimes, classically referred to as single and double layer regimes. This
severely limits the scope of potential applications, and sits in stark contrast
to inertial focusing (the approach that perhaps has most defined the field of
inertial microfluidics), where instead boundaries with multiple curvatures have
long been utilised to magnify inertial effects, expand design space, and enable
novel applications. Here, we demonstrate that a multi-curvature approach in
viscous streaming dramatically extends the range of accessible flow topologies.
We show that numerically predicted, but never experimentally observed,
streaming flows can be physically reproduced, computationally engineered, and
in turn used to enhance particle manipulation, filtering and separation in
compact, robust, tunable and inexpensive devices. Overall, this study provides
an avenue to unlock the utility of viscous streaming with potential
applications in manufacturing, environment, health and medicine, from particle
self-assembly to microplastics removal.","streaming,Viscous,inertial",Science
Does God Play Dice?: The New Mathematics of Chaos,"The revised and updated edition includes three completely new chapters on the prediction and control of chaotic systems. It also incorporates new information regarding the solar system and an account of complexity theory. This witty, lucid and engaging book makes the complex mathematics of chaos accessible and entertaining. Presents complex mathematics in an accessible sty ...more","revised,updated,edition",Science
Computational Vision,"In this course, we will expand on vision as a cognitive problem space and explore models that address various vision tasks. We will then explore how the boundaries of these problems lead to a more complex analysis of the mind and the brain and how these explorations lead to more complex computational models of understanding.","vision,tasks,explore",Deep Learning
Unethical Decision Making in Organizations,"This course 'Unethical decision making in organizations : A seminar on the dark side of the force' will teach you how strong organizational contexts push good people towards unethical decisions. You will also learn how to protect yourself and your organization against such forces lurking in the dark. About the Course This course teaches how narrow frames and strong contexts can push good people towards unethical decisions and how they can protect themselves and their organization against ethical blindness. The goal of this course is to empower the participants to analyze the risks of unethical or illegal behavior that might be triggered by powerful contexts. It draws from various disciplines such as management, psychology, sociology, philosophy, and literature, in order to learn what these disciplines contribute to a better understanding of unethical behavior. The course also analyzes some of the most prominent organizational scandals of the recent decades through the lenses of these disciplines. Whenever we hear about ethical scandals, we tend to believe that unethical or illegal behaviour in organizations is driven by character deficiencies of individual actors. Put differently, we simply assume that bad things are done by bad people. However, numerous corporate scandals have demonstrated that even people with a high level of integrity can break the rules if they are put into a strong context. A better understanding of why and under what conditions good people make bad ethical decisions will enable us to better protect individuals as well as their respective organizations against the potentially overwhelming power of the context. It will also enable us to cure societies from problems like corruption. At the end of the course, you are able to: 1. Explain the impact of social context on individual decision making using various theories (from Management, Sociology, Psychology, and Philosophy) 2. Apply these theories to the analysis of some of the most eminent organizational scandals of the recent decades 3. Assess risks of ethical blindness in your own organizational context 4. Design interventions to reduce such risks for yourself and your organization Recommended Background No background expertise is required. The course is open for interested layperson as well as experts who work on related topics, be it as researchers or practitioners (e.g., compliance managers in corporations). Why is this course important for me? Currently, the understanding of why good people make unethical decisions is rather limited, related research is rather fragmented, and the management of such problems in organizations is overly simplistic, legalistic, and inadequate. Understanding contexts, including the dangers of routines, the mindlessness of our daily decisions, and the healing power of mindful decision-making routines is of increasing importance. In this course, you will learn the latest knowledge and the appropriate tool box for dealing with ethical challenges that you will face throughout your life! What do I need to follow this course? We build bridges between various scientific disciplines and will familiarize you with those disciplines smoothly. You need no expertise, just come and share your own real-world experiences about unethical decisions. After all, we are all experts in making decisions�some more ethically, some less ethically�aren�t we?","Unethical,decisions,people",Ethics
